text,label
Girl you were always my yellow rose And I was your one lone star We always said Together till death do us part  We had a love bigger than Texas Where is that feeling now It's taken some hits and losses but it's fighting on And standing somehow  Remember the man who asked for your hand In the moonlight of San Antone There by the mission you let your position be known That you loves me so Don't forget where it started Remember the Alamo  I think we can hold on and make it together If we remember when And get back to love The way that it was back then  When we were hopeless romantics needing each other Willing to take a chance We strolled and we talked down the ol' river walk To the heart of where it began,country
"Well, I've got to run to keep from hidin' And I'm bound to keep on ridin' And I've got one more silver dollar  But I'm not gonna let 'em catch me, no Not gonna let 'em catch the Midnight Rider  And I don't own the clothes I'm wearing And the road goes on forever And I've got one more silver dollar  But I'm not gonna let 'em catch me, no Not gonna let 'em catch the Midnight Rider  And I've gone by the point of caring Some old bed I'll soon be sharing And I've got one more silver dollar  But I'm not gonna let 'em catch me, no Not gonna let 'em catch the Midnight Rider   No, I'm not gonna let 'em catch me, no Not gonna let 'em catch the Midnight Rider",country
"It all started in this little town Way down in Texas When I first heard old Johnny Cash Singing prison blues I picked my guitar like a fool And read them country magazines Keeping up to snuff on the Music City news One Sunday morning found me there On the streets of Nashville Humming out the chorus to my latest melody Well I whooped into old Tootsie's bar And told them local pickers I'd done come to capture Music City, U.S.A Can't you hear the music ringing Can't you hear the singers singing Can't you hear somebody humming on my homemade melody The lost and found are searching here And some new face from everywhere Is come to capture Music City, U.S.A One Sunday evening found me Lord In a corner booth at Limebaugh's Drinking black coffee and eating chili Like Marty Robbins and Earnest Tubb Set there tuning up my guitar Lord, I couldn't wait until Monday morning Figured if I couldn't make it then nobody could Well the years have come and gone I'm still here in Nashville Stumbling up and down 16th and 17th Avenue Bugging everybody here That I can get to stop and listen Trying hard to do all the things I told my mom and dad that I was going to do Can't you hear the music ringing...",country
"I tell you what, we're in a rut, we're in a deep rut So habitual, predictable I tell you what we oughta do We oughta drive away, fly away, find a way to get away We need a break from the same old, same old nothin' new Wanna go out on a limb, on a whim, yeah That's the kind of mood I'm in Let's go somewhere, nowhere we've heard of Hang the sign out, ""Do not disturb us"" Get a wake up call about three p.m That's the kind of mood I'm in A little shake up, take the chain and rattle it Try to catch the wind and saddle it Fall in love all over again, yeah That's the kind of mood I'm in I tell you this, I want a kiss, I want a long kiss The kind of deep down, move the ground thing you used to do to me I wanna dance a little, dream a little, baby, just live a little Make my heart rate elevate, bring it up a few degrees Get me gone with the wind, now and then, yeah That's the kind of mood I'm in Let's go somewhere, nowhere we've heard of Hang the sign out, ""Do not disturb us"" Get a wake up call about three p.m That's the kind of mood I'm in A little shake up, take the chain and rattle it Try to catch the wind and saddle it Fall in love all over again, yeah That's the kind of mood I'm in Any hemisphere, change of atmosphere Get me outta here right now Let's go somewhere, nowhere we've heard of Hang the sign out, ""Do not disturb us"" Get a wake up call about three p.m That's the kind of mood I'm in A little shake up, take the chain and rattle it Try to catch the wind and saddle it Fall in love all over again, yeah That's the kind of mood I'm in",country
"Come on  I'm lookin' for a lover who can rev his little engine up He can have a '55 Chevy or a fancy little pick-up truck If he's got a cool Cadillac with a jacuzzi in the back, I'm in, oh yeah 'Cause I'm a classy little chassis who's a-huntin' for a heart to win  Oh, but if you wanna win it There's no speed limit Just go faster, faster, don't be slow Rev it up, rev it up 'til your engine blows  You win my love You win my soul You win my heart Yeah, you get it all You win my love You make my motor run You win my love Yeah, you're number one  Oh, I'm a crazy little lady Yeah, the kind you just can't slow down Oh no I need a '65 cylinder, racy, little run around town  Oh, but if you wanna win it Babe, there's no speed limit Just go faster, faster, don't be slow Rev it up, rev it up 'til your engine blows  You win my love You win my soul You win my heart Yeah, you get it all You win my love You make my motor run You win my love Yeah, you're number one Oh, uh-oh, yeah  I want a heartbreak Harley A full of steam dream machine Or just a little late night sexy long stretch limousine  Oh, but if you wanna win it Babe, there's no speed limit Just go faster, faster, don't be slow Rev it up, rev it up 'til your engine blows  You win my love You win my soul You win my heart Yeah, you get it all You win my love You make my motor run You win my love Yeah, you're number one  Oh, you win my love You win my love Oh, you win my love You win my love I said you win my love You win my love Babe, you win my love I said you win my love Yeah, you win my love You win my love",country
"Back seat of her daddy's car I was trying not to go too far. Kept thinkin' 'bout the words the preacher man said. Lightning flashed across the sky, I saw love in a young girl's eyes, And that's a look you never forget. Seventeen, Only comes once in a lifetime. Don't it just fly by wild and free Goin' anyway the wind blew, baby! Seventeen, Livin' on crazy dreams, Rock-n-roll, and faded blue jeans, And standin' on the edge of everything. Seventeen! Legs hangin' off a bayou bridge, Feedin' fish potato chips, And talkin' 'bout the mysteries of the universe. Yeah, the world was somewhere else, We had the summer all to ourselves, And the stars went off like fireworks. Seventeen, Only comes once in a lifetime. Don't it just fly by wild and free Goin' anyway the wind blew, baby! Seventeen, Livin' on crazy dreams, Rock-n-roll, and faded blue jeans, And standin' on the edge of everything. Seventeen! Seventeen, Only comes once in a lifetime. Well, don't it just fly by wild and free Going anyway the wind blew, baby! Seventeen, Livin' on crazy dreams, Rock-n-roll, and faded blue jeans, And standin' on the edge of everything. Seventeen! Yeah, Seventeen! Sweet seventeen!",country
"Oh, they tell me of a home far beyond the skies Oh, they tell me of a home far away Oh, they tell me of a home where no storm clouds rise Oh, they tell me of an unclouded day  Oh, the land of cloudless day Oh, the land of an unclouded day Oh, they tell me of a home where no storm clouds rise Oh, they tell me of an unclouded day  Oh, they tell me of a home where my friends have gone Oh, they tell me of that land far away Where the tree of life in eternal bloom Sheds its fragrance through the unclouded day  Oh, the land of cloudless day Oh, the land of an unclouded day Oh, they tell me of a home where no storm clouds rise Oh, they tell me of an unclouded day  Oh, they tell me of a King in His beauty there And they tell me that mine eyes shall behold Where He sits on the throne that is whiter than snow In the city that is made of gold  Oh, the land of cloudless day Oh, the land of an unclouded day Oh, they tell me of a home where no storm clouds rise Oh, they tell me of an unclouded day  Oh, they tell me that He smiles on His children there And His smile drives their sorrows all away And they tell me that no tears ever come again In that lovely land of unclouded day  Oh, the land of cloudless day Oh, the land of an unclouded day Oh, they tell me of a home where no storm clouds rise Oh, they tell me of an unclouded day",country
"The first scene was the church, then the altar Where we claimed each other, with tears of joy we cried Our friends wished us luck there forever As we walked from the church, side by side The next scene was a crowded courtroom And like strangers we sat side by side Then I heard the judge make his decision And no longer were we man and wife I hate the sight of that courtroom Where man-made laws push God's laws aside Then the clerk wrote our story in the record A church, a courtroom and then goodbye We walked from that courtroom together We shook hands and once again we cried Then it was the end of our story A church, a courtroom and then goodbye",country
"If I should stay I would only be in your way So I'll go, but I know I'll think of you each step of the way And I will always love you I will always love you Bitter sweet memories That is all I am taking with me Goodbye, please don't you cry 'Cause we both know I'm not what you need But I will always love you I will always love you I hope life (I hope life) Treats you kind (treats you kind) And I hope you have all you dream of I wish you joy (wish you joy) And happiness (and happiness) But above all this I wish you love And I will always love you I will always love you Yes, I will always love you I will always love you...",country
"Oh yeah, sure, no problem I'll just throw away these feelings Let go of all these hopes And never think of you  No offense, but you've lost it If you think I'll just forget you And decide that I don't love you Do you realize what you're telling me to do  It's like saying don't breathe Or don't blink Well darling I don't think you understand See, I can't just turn this off It's like saying don't eat Or don't sleep Our love's just one of those things That I've gotten used to doing way too long  You don't have to worry I'm not gonna stop you You can pack up all your things And head on out that door  But don't stand there and tell me How you think it would be best To leave my feelings in the past And not allow myself to love you anymore   It's like saying don't eat Or don't sleep Our love's just one of those things That I've gotten used to doing way too long",country
"You've got my number You've got my name So why don't you call me Little Liza Jane  You've got that body You've got that frame So why don't you call me Little Liza Jane Girl I got it bad for you There ain't nothin' I won't do Just one kiss and I'll never be the same Little Liza Jane, oh little Liza Jane Now you've heard my story You've got to know my name So why don't you call me Little Liza Jane",country
"Riding on the City of New Orleans Illinois Central, Monday morning rail Fifteen cars and fifteen restless riders Three conductors and twenty-five sacks of mail All along the southbound odyssey The train pulls out of Kankakee And rolls along past houses farms and fields Passing trains that have no name And freight-yards full of old black men And graveyards full of rusted automobiles  Good morning America how are you? Say, don't you know me? I'm your native son I'm the train they call the City of New Orleans And I'll be gone five hundred miles when the day is done  Dealing cards with an old man in the club car Penny a point, ain't no one keeping score Pass that paper bag that holds the bottle And feel the wheels rumbling beneath the floor And the sons of Pullman porters and the sons of engineers Ride their fathers' magic carpet made of steel Mothers with their babes asleep, rocking to that gentle beat And the rhythm of the rails is all they feel  Good morning America how are you? Say, don't you know me? I'm your native son I'm the train they call the City of New Orleans And I'll be gone five hundred miles when the day is done  Night time on the City of New Orleans Changing cars in Memphis, Tennessee Half way home we'll be there by morning Through the Mississippi darkness rolling down to the sea But all the towns and people seem to fade into a bad dream And the steel rails still ain't heard the news The conductor sings his songs again The passengers will please refrain This train has got the disappearing railroad blues  Good morning America how are you? Say, don't you know me? I'm your native son I'm the train they call the City of New Orleans And I'll be gone five hundred miles when the day is done",country
"Traffic jams, commuter lines Monthly quotas, the daily grind In a hurry and out of time The pressure's on  They're pushing and shoving They're living on the edge  Meanwhile, back at the ranch Sitting on the front porch Swinging with Blanche World's running from an avalanche Meanwhile, back at the ranch  The big computer's on the blink Y2k, what a stink They bring the city to the brink But not out here  The only thing that we got on line Is the fish we caught for suppertime Well, let me tell you, peace of mind Is the last frontier  They're pushing and shoving They're living on the edge  Out there crawling Like ants upon the ground Oh, go home  Hear them calling But the sky is falling Down, down, down, down, down  Meanwhile, back at the ranch, Sitting on my front porch Swinging with Blanche World's running from an avalanche",country
"Look at us baby Up all night Tearin' our love apart Aren't we the same two people Who lived through years in the dark Every time I try to walk away Somethin' makes me turn and stay I can't tell you why When we get crazy It just ain't right (Try to keep your head on, girl) 'Cause girl I get lonely too You don't have to worry Just hold on tight (Don't get caught in your little world) 'Cause I love you Nothin's wrong as far as I can see We make it harder than it has to be I can't tell you why No, baby, I can't tell you why I can't tell you why Every time I try to walk away Somethin' makes me turn around and stay I can't tell you why No, baby, I can't tell you why I can't tell you why I can't tell you why, yeah No, baby Ooooh, I can't tell you why",country
"Everybody wants a little piece of my time But still I put you at the end of the line How it breaks my heart to cause you this pain To see the tears you cry fallin' like rain Give me the chance to prove And I'll make it up to you I still believe in you With a love that will always be Standing so strong and true Baby I still believe in you and me Somewhere along the way, I guess I just lost track Only thinkin' of myself never lookin' back For all the times I've hurt you, I apologize I'm sorry it took so long to finally realize Give me the chance to prove That nothing's worth losing you I still believe in you With a love that will always be Standing so strong and true Baby I still believe in you and me",country
"If I could win your heart If you'd let me in your heart I'd be so happy, baby Just for these arms to be Holding you close to me There's nothing in this world I won't try No limit to what I'd do to make you mine, cause  I'd climb right up to the sky I'd take down the stars Just to be in your arms, baby I'd go and capture the moon That's what I would do Just to hear you say that you love me Just to hear you say that you love me  If i could taste your kiss There'd be no sweeter gift Heaven could offer, baby Oh, baby I want to be the one I want to be the one Living to give you love I'd walk across this world just to be Close to you cause i want you close to me, yeah  I'd climb right up to the sky I'd take down the stars Just to be in your arms, baby I'd go and capture the moon That's what I would do Just to hear you say that you love me Just to hear you say that you love me  For the rest of your life (For the rest of your life) Love me for the rest of all time Oh baby, baby Just say the word And I'll give you my world There's nothing I won't do Baby, just to be with you  I'd climb right up to the sky I'd take down the stars Just to be in your arms, baby I'd go and capture the moon That's what I would do Just to hear you say that you love me  Just to hear you say that you love me, baby Just to hear you say that you love me Oh, I need to hear you say that you love me, baby Just to hear you say that you love me Just say you love me Just say you need me Just to hear you say that you love me",country
What goes wrong with the mind of a man in a bar Who sits and keep drinking with his thoughts strayed so far It's the same old sad story that has often been told One drink then another till he's out of control As he sits at a table with his hands on the glass For him there's no future there's only the past He reaches for the bottle but his hands don't take hold His eyes just can't focus he's out of control Does he search for contentment that he might hope to find From a honky tonk woman or the bottles of wine He shakes and he trembles even though he's not old Like a leaf in a whirlwind he's out of control Yes I'm just like that fellow who sits there all alone With no one to love me no family at home I'm a picture of others with a future so cold A life ain't worth livin' when it's out of control,country
"Maybe I didn't love you Quite as often as I could have Maybe I didn't treat you Quite as good as I should have If I made you feel second best Girl, I'm sorry I was blind  You were always on my mind You were always on my mind  And maybe I didn't hold you All those lonely, lonely times And I guess I never told you I'm so happy that you're mine Little things I should have said and done I just never took the time  And you were always on my mind You were always on my mind  Tell me, tell me that your Sweet love hasn't died And give me Give me one more chance To keep you satisfied Keep you satisfied  Little things I should have said and done I just never took the time But you were always on my mind You were always on my mind",country
"He slipped the ring off his finger When he walked in the room And he found him some stranger And promised her the moon How many lies you must have told You think you're a rich man  With your pocket full of gold  For another man's treasure You'd say anything But is one night of pleasure Worth the trouble you'll bring Don't look so surprised 'Cause son I should know I once was a rich man  With my pocket full of gold  Some night you're gonna wind up On the wrong end of a gun Some jealous guy's gonna show up And you'll pay for what you've done What will it say on your tombstone Here lies a rich man   Yeah, here lies a rich man With his pocket full of gold",country
"The bar was empty I was sweeping up the floor That's when she walked in I said, I'm sorry but we're closed And she said ""I know, But I'm afraid I left my purse I said, I put one back behind the bar I bet it's probably yours And the next thing that I knew There we were, lost in conversation And before I handed her her purse I said, You'll only get this back on one condition"" And we danced Out there on that empty hardwood floor The chairs up and the lights turned way down low The music played, we held each other close And we danced And from that moment There was never any doubt I had found the one That I had always dreamed about And then one evenin' When she stopped by after work I pulled a diamond ring out of the pocket of my shirt And as her eyes filled up with tears She said, this is the last thing I expected And then she took me by the hand And said, I'll only marry you on one condition And we danced Out there on that empty hardwood floor The chairs up and the lights turned way down low The music played, we held each other close And we danced Like no one else had ever danced before I can't explain what happened on that floor But the music played We held each other close And we danced Yeah, we danced",country
"I grew up a-dreamin' of bein' a cowboy And lovin' the cowboy ways Pursuin' the life of my high-ridin' heroes I burned up my childhood days I learned all the rules of a modern-day drifter Don't you hold on to nothin' too long Just take what you need from the ladies, then leave them With the words of a sad country song My heroes have always been cowboys And they still are, it seems Sadly, in search of, but one step in back of Themselves and their slow-movin' dreams Cowboys are special with their own brand of misery From bein' alone too long You could die from the cold in the arms of a nightman Knowin' well that your best days are gone Pickin' up hookers instead of my pen I let the words of my youth fade away Old worn-out saddles, and old worn-out memories With no one and no place to stay My heroes have always been cowboys And they still are, it seems Sadly, in search of, and one step in back of Themselves and their slow-movin' dreams Sadly, in search of, and one step in back of Themselves and their slow-movin' dreams",country
There's a bottle on the dresser by your ring And it's empty so right now I don't feel a thing I'll be hurting when I wake up on the floor And I'll be over it by noon And that's the difference between the whiskey and you  Come tomorrow I can walk in any store It aren’t a problem yeah they'll always sell me more But you're forgiveness is something I can't buy Aren’t a thing that I can do And that's the difference between the whiskey and you  One's the devil and one keeps driving me insane At times I wonder if they aren’t both the same One's a liar that helps hide me from my pain And one's a long hard bitter truth And that's the difference between the whiskey and you  I've got a problem but it aren’t like what you think I drink 'cause I'm lonesome and I'm lonesome 'cause I drink If I don't break down and bring it on myself it'll hit right out of the blue That's the difference between the whiskey and you  One's the devil and one keeps driving me insane At times I wonder if they aren’t both the same One's a liar that helps hide me from my pain And one's a long hard bitter truth And that's the difference between the whiskey and you  Yeah that's the difference between the whiskey and you,country
"Blue skies smiling at me Nothing but blue skies do I see Blue birds singing a song Nothing but blue skies from now on  I never saw the sun shining so bright Never saw things going so right Noticing the days hurrying by When you're in love, my how they fly by Blue days, all of them gone Nothing but blue skies from now on  Blue skies smiling at me Nothing but blue skies do I see Blue days, all of them gone Nothing but blue skies from now on Blue skies smiling at me Nothing but blue skies do I see Blue days, all of them gone Nothing but blue skies from now on Blue skies smiling at me Nothing but blue skies do I see Blue days, all of them gone Nothing but blue skies from now on",country
"Let's all go, down to Dumas Walker Let's all go, down to Dumas Walker We'll get a slaw, burger, fries, and a bottle of ski Bring it on out to my baby and me Yeah we're headed to the drive-in on a Saturday night Just me and my baby and a six-pack of Lite Got a pocketful of money, and I'm rarin' to go Down to Dumas Walker right after the show They'll be shootin' marbles in the back of the store And laying money down on the floor Let's all go, down to Dumas Walker Let's all go, down to Dumas Walker We'll get a slaw, burger, fries, and a bottle of ski Bring it on out to my baby and me He takes all his orders down one at a time Don't need a pad, he's got a photogenic mind He don't like the young folk hangin' around He's here to let you know we gotta law in this town You oughta see him reelin' when he walks through the door The marble king is ready for more Let's all go, down to Dumas Walker Let's all go, down to Dumas Walker We'll get a slaw, burger, fries, and a bottle of ski Bring it on out to my baby and me",country
You can see it in the movies and the paper and the TV news Somebody's army is always on the move There's going to be a battle the lines have been drawn They have got guns and tanks and planes The wells are gone dry and the water is bad and the air is acid rain There's war after war and rumors of war from the east There's a rumbling in the ground and they are talking about the beast Good mothers cry cause the rivers run high With the blood of too many sons Some people say peace is on the way But the worst is still to come  Because the prophets wrote about it And Jesus spoke about it And John got to take a look And he told us what he saw when it's easy to see It's going by the book  There's armies in the cities and the missiles stand ready for flight A pale horse rides like the wind across the night And that rumbling in the desert like thunder getting closer Are the trumpet's getting ready to blow There's going to be a shout that will wake the dead we better be ready to go,country
"Teach me to cheat, show me how you do it I want to learn from the very best the one who cheats on me Oh teach me to lie never bat an eye Make me a honky-tonk angel teach me to cheat  Do I take the ring off of my finger? Is that the way that all good cheaters do? Do I sit down at the bar or at a table? I just don’t know that’s why I’m asking you  Teach me to cheat, show me how you do it I want to learn from the very best the one who cheats on me Oh teach me to lie never bat an eye Make me a honky-tonk angel teach me to cheat  Would you mind if I used your favorite motel? When we sign in do we use Smith or Jones? Would a drink or two make me feel as guilty? And which lie do I tell you when I come home?  Teach me to cheat, show me how you do it I want to learn from the very best the one who cheats on me Teach me to lie never bat an eye Make me a honky-tonk angel teach me to cheat Make me a honky-tonk angel teach me to cheat",country
If you've got the money honey I've got the time We'll go honky tonking and we'll have a time We'll have more fun baby all way down the line  If you've got the money honey I've got the time There ain't no need to tarry let's start out tonight We'll have fun oh boy oh boy and we'll do it right  Bring along your Cadillac leave my old wreck behind If you've got the money honey I've got the time  We'll go honky tonking make every spot in town We'll go to the every spot and leave all gold around If you run short of money I'll run short of time  If you've got the money honey I've got the time We'll go honky tonking and we'll have a time We'll have more fun baby all way down the line  Bring along your Cadillac leave my old wreck behind If you've got the money honey I've got the time,country
"If you had not have fallen Then I would not have found you Angel flying too close to the ground And I patched up your broken wing and hung around a while Trying to keep your spirits up and your fever down I knew someday that you would fly away For love's the greatest healer to be found So leave me if you need to, I will still remember Angel flying too close to the ground Fly on, fly on past the speed of sound I'd rather see you up than see you down So leave me if you need to, I will still remember Angel flying too close to the ground Leave me if you need to, I will still remember Angel flying too close to the ground",country
"Now I leave me down to sleep And if I sleep, perhaps I'll dream And if I dream, I'll be with you In the shelter of your arms I pray that God will leak tonight And grant me time before the light For the light of day will take me from the shelter of your arms And though I know it's just a dream A dream that soon must end The arms I feel I know are real And I'm happy once again And if I die while I'm asleep I pray my dreams, he'll let me keep And carry me through eternity In the shelter of your arms And though I know it's just a dream A dream that soon must end The arms I feel I know are real And I'm happy once again And if I die while I'm asleep I pray my dreams he'll let me keep And carry me through eternity In the shelter of your arms",country
"True in this modern world when two lovers get together Chances of 'em ever making it to forever Couldn't be better than two in a million hearts Girl this ain't just another run of the mill emotion What I'm feeling is the definition of devotion My love for you is true  True, like the sun coming up each morning Bright as the light in a baby's smile Sure as a mountain river winding Right as the rain falling from the sky Girl my love for you, is true  True, not another minute on this Earth can be borrowed So there's no way to know when I'll live my last tomorrow But everyday I get, I'll share with you This feeling just keeps getting stronger as the time goes by It's written on my face, you can see it in my eyes My love for you is true",country
"The rain is falling lightly on the buildings and the cars I've said goodbye to city friends, department stores and bars The lights of town are at my back, my heart is full of stars And I'm gonna be a country girl again Oh yes, I'm gonna be a country girl again With an old brown dog and a big front porch and rabbits in the pen I tell you, all the lights on Broadway don't amount to an acre green And I'm gonna be a country girl again I spent some time in study, oh, I've taken my degrees And memorized my formula, my A's and B's and C's But what I know came long ago and not from such as these And I'm gonna be a country girl again Oh yes, I'm gonna be a country girl again With an old brown dog and a big front porch and rabbits in the pen I tell you, all the lights on Broadway don't amount to an acre green And I'm gonna be a country girl again I've wandered in the hearts of men looking for the sign But here I might learn happiness, I might learn peace of mind The one who taught my lesson was the soft wind through the pines I'm gonna be a country girl again Oh yes, I'm gonna be a country girl again With an old brown dog and a big front porch and rabbits in the pen I tell you, all the lights on Broadway don't amount to an acre green And I'm gonna be a country girl again Oh yes, I'm gonna be a country girl again With an old brown dog and a big front porch and rabbits in the pen I tell you, all the lights on Broadway don't amount to an acre green And I'm gonna be a country girl again",country
Once upon a lonely time She swore she'd never let you down You held her tight without a care in mind While she did her runnin' 'round At first you wouldn't face the truth You loved her too much to let go And though the story had to end You wanna be her fool again Friend there's something you should know She'll have you back Back to drinkin' in no time Back to walkin' on your knees Boy open up your eyes and see the light Some things just aren't meant to be I understand how she can get to you 'Cause she's made more than one man blind So try and face the cold hard fact She would gladly have you back Back to drinkin' in no time It just don't make no sense to me To play a game you'll never win You asked me here for my advice You say she wouldn't break you twice Friend you'd better think again She'll have you back Back to drinkin' in no time Back to walkin' on your knees Boy open up your eyes and see the light Some things just aren't meant to be I understand how she can get to you 'Cause she's made more than one man blind So try and face the cold hard fact She would gladly have you back Back to drinkin' in no time So try and face the cold hard fact She would gladly have you back Back to drinkin' in no time,country
I don't want your lonely mansion With a tear in every room. All I want's the love you promised Beneath the haloed moon. But you think I should be happy With your money and your name And hide myself in sorrow While you play your cheating game. Silver threads and golden needles Cannot mend this heart of mine. And I dare not drown my sorrow In the warm glow of your wine. You can't buy my love with money Cause I never was that kind. Silver threads and golden needles Cannot mend this heart of mine.  Silver threads and golden needles Cannot mend this heart of mine. And I dare not drown my sorrow In the warm glow of your wine. You can't buy my love with money Cause I never was that kind. Silver threads and golden needles Cannot mend this heart of mine. Silver threads and golden needles Cannot mend this heart of mine.,country
